TIMESTAMP,KEY PRESSED
"04-05-2023, 23:12:16.412218",'i'
"04-05-2023, 23:12:16.442486",'d'
"04-05-2023, 23:12:16.528912",'b'
"04-05-2023, 23:12:16.553657",'c'
"04-05-2023, 23:12:16.652720",'d'
"04-05-2023, 23:12:16.715372",'b'
"04-05-2023, 23:12:16.754887",'c'
"04-05-2023, 23:12:16.814573",'i'
"04-05-2023, 23:12:16.842044",'s'
"04-05-2023, 23:12:16.846412",'d'
"04-05-2023, 23:12:16.908748",'b'
"04-05-2023, 23:12:16.924447",'c'
"04-05-2023, 23:12:17.066061",'c'
"04-05-2023, 23:12:17.086093",'s'
"04-05-2023, 23:12:17.169218",'i'
"04-05-2023, 23:12:17.209491",'c'
"04-05-2023, 23:12:17.256965",'b'
"04-05-2023, 23:12:17.345631",'i'
"04-05-2023, 23:12:17.370249",'d'
"04-05-2023, 23:12:17.383046",'s'
"04-05-2023, 23:12:17.429184",'b'
"04-05-2023, 23:12:17.477128",'c'
"04-05-2023, 23:12:17.520637",'i'
"04-05-2023, 23:12:17.544304",'s'
"04-05-2023, 23:12:17.595874",'b'
"04-05-2023, 23:12:17.636821",'c'
"04-05-2023, 23:12:17.796834",'b'
"04-05-2023, 23:12:17.801328",'c'
"04-05-2023, 23:12:17.949757",'i'
"04-05-2023, 23:12:17.963737",'s'
"04-05-2023, 23:12:17.965737",'d'
"04-05-2023, 23:12:18.026990",'b'
"04-05-2023, 23:12:18.081815",'c'
"04-05-2023, 23:12:18.143610",'i'
"04-05-2023, 23:12:18.170570",'s'
"04-05-2023, 23:12:18.223498",'b'
"04-05-2023, 23:12:18.259682",'c'
"04-05-2023, 23:12:18.560388",'i'
"04-05-2023, 23:12:18.564412",'s'
"04-05-2023, 23:12:18.568491",'d'
"04-05-2023, 23:12:18.682767",'c'
"04-05-2023, 23:12:18.753089",'i'
"04-05-2023, 23:12:18.774221",'s'
"04-05-2023, 23:12:18.778738",'d'
"04-05-2023, 23:12:19.198620",'d'
"04-05-2023, 23:12:19.217908",'i'
"04-05-2023, 23:12:19.325960",'c'
"04-05-2023, 23:12:19.418989",'d'
"04-05-2023, 23:12:19.424350",'i'
"04-05-2023, 23:12:19.709225",'d'
"04-05-2023, 23:12:19.730068",'i'
"04-05-2023, 23:12:19.833716",'c'
"04-05-2023, 23:12:19.848228",'b'
"04-05-2023, 23:12:19.926076",'d'
"04-05-2023, 23:12:19.946898",'i'
"04-05-2023, 23:12:20.024673",'b'
